FOLIO8,UNIT_COUNT,LEGAL_LINE,LEGAL_LINE_2,MILLAGE_CODE,USE_CODE,SITUS_CITY,SITUS_ZIP_CODE,Neighborhood/Division,Subdivision,HOA,HOA Webpage,Property Management,Property Management Wegpage
47372500,2,47-37,"SEC 25 LESS N 140,26 LESS N 140,",0012,82,BC,0,,,,,,
47382500,1,47-38,ALL SECTIONS 25 TO 36 LESS STATE,0012,96,BC,0,,,,,,
47382800,1,47-38,"POR SECS 28,29 & 30 AS DESC IN",0012,82,BC,33327,,,,,,
47392501,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 25-47-39,0012,82,BC,0,,,,,,
47392600,1,26-47-39,ALL,0012,82,BC,0,,,,,,
47392701,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 27-47-39,0012,82,BC,0,,,,,,
47392800,1,28-47-39,ALL,0012,82,BC,0,,,,,,
47392901,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 29-47-39,0012,82,BC,0,,,,,,
47393000,1,30-47-39,ALL,0012,96,BC,0,,,,,,
47393101,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 31-47-39,0012,96,BC,0,,,,,,
47393200,1,32-47-39,ALL,0012,96,BC,0,,,,,,
47393301,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 33-47-39,0012,96,BC,0,,,,,,
47393400,1,34-47-39,ALL,0012,96,BC,0,,,,,,
47393501,1,FLA FRUIT LAND CO SUB NO 2,1-102 PB 35-47-39,0012,96,BC,0,,,,,,
47393600,1,36-47-39,ALL,0012,96,BC,0,,,,,,
47402501,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 25-47-40,0012,96,BC,0,,,,,,
47402600,1,26-47-40,ALL,0012,96,BC,0,,,,,,
47402701,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 27-47-40,0012,96,BC,0,,,,,,
47402800,1,28-47-40,ALL,0012,96,BC,0,,,,,,
47402901,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 29-47-40,0012,96,BC,0,,,,,,
47403000,1,30-47-40,ALL,0012,96,BC,0,,,,,,
47403101,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 31-47-40,0012,96,BC,0,,,,,,
47403200,1,32-47-40,ALL,0012,96,BC,0,,,,,,
47403301,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 33-47-40,0012,96,BC,0,,,,,,
47403400,1,34-47-40,ALL,0012,96,BC,0,,,,,,
47403501,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 35-47-40,0012,96,BC,0,,,,,,
47403600,1,36-47-40,ALL,0012,96,BC,0,,,,,,
47411900,2,FLA FRUIT LANDS CO SUB NO 2,1-102 PB,3012,94,PA,33076,,,,,,
47411901,3,FL FRUIT LANDS CO SUB NO 2,19-47-41 1-102 PB,3012,41,PA,33076,,,,,,
47411902,1,SABRA PLAT NO 1 180-87 B,ADD R/W DEDICATED,3012,94,PA,33076,,,,,,
47411903,240,HOMES AT PARKLAND ROYALE,183-725 B  LOT 59,3012,00,PA,33076,,,,,,
47412000,1,47-41-20 SW1/4,PARCEL OF LAND BEING THE N 120,3012,94,PA,33076,,,,,,
47412600,4,26-41-47,W 75 OF W1/4 SEC 26 LYING S OF,3012,95,PA,33076,,,,,,
47412601,2,TFC PARKLAND STORAGE 183-753 B,PARCEL B,3012,94,PA,33076,,,,,,
47412701,5,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 27-47-41,0012,52,BC,33076,,,,,,
47412800,1,28-47-41,"BEG SW COR SEC 28,N 4308.90 ALG",0012,94,BC,33076,,,,,,
47412801,502,DEBUYS PLAT 180-147 B,LOT 18 BLK 12,3012,01,PA,33076,,,,,,
47412802,231,DEBUYS PLAT 180-147 B,POR OF PARCEL D DESC AS: COMM SW,3012,01,PA,33076,,,,,,
47412805,11,DEBUYS REPLAT NO 1 182-94 B,LOT 18 BLK 1,3012,01,PA,33076,,,,,,
47412806,5,DEBUYS REPLAT NO 2 182-98 B,LOT 102,3012,01,PA,33076,,,,,,
47412807,26,DEBUYS REPLAT NO 3 182-100 B,LOT 26 BLK 10,3012,01,PA,33076,,,,,,
47412808,4,WEDGE PRESERVE PARK 183-677 B,PARCEL B K/A ADDITIONAL RIGHT OF,3012,94,PA,33076,,,,,,
47412901,3,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 29-47-41,3012,94,PA,33076,,,,,,
47412902,1,BRUSCHI PROPERTY 180-105 B,TRACT FS,3012,89,PA,33067,,,,,,
47412903,464,BRUSCHI PROPERTY 180-105 B,LOT 88,3012,01,PA,33076,,,,,,
47412904,137,WATERCREST-42 ACRES 181-194 B,LOT 521,3012,01,PA,33076,,,,,,
47412905,633,TRIPLE H RANCH PLAT 182-111 B,LOT 16 BLK 26,3012,01,PA,33076,,,,,,
47413002,584,PARKLAND ROYALE 182-60 B,TR O-30,3012,09,PA,33076,,,,,,
47413003,576,PARKLAND BAY 183-49 B,LOT 136,3012,01,PA,33076,,,,,,
47413101,12,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 31-47-41,3012,94,PA,33076,,,,,,
47413102,145,HERON BAY NORTHWEST 167-17 B,LOT 1 BLK C,3012,01,PA,33076,,,,,,
47413103,385,HERON BAY CENTRAL 171-23 B,LOT 43 BLK A,3012,01,PA,33076,,,,,,
47413104,4,HERON BAY NORTH PLAT 1 173-105 B,N 30' OF PARCEL A,3012,09,PA,33076,,,,,,
47413105,203,HERON BAY NORTH PLAT 2 173-181 B,LOT 8 BLK D,3012,01,PA,33076,,,,,,
47413107,328,HERON BAY NORTH PLAT 3 176-73 B,LOT 41 BLK A,3012,01,PA,33076,,,,,,
474131AA,60,CYPRESS POINTE I AT HERON BAY,CONDO,3012,04,PA,33076,,,,,,
474131AB,60,CYPRESS POINTE II AT HERON BAY,CONDO,3012,04,PA,33076,,,,,,
474131AC,60,CYPRESS POINTE III AT HERON BAY,CONDO,3012,04,PA,33076,,,,,,
474131AD,60,CYPRESS POINTE IV AT HERON BAY,CONDO,3012,04,PA,33076,,,,,,
47413200,7,32-47-41,"PART OF NE 1/4 DESC'D AS,COMM AT",3012,91,PA,33076,,,,,,
47413201,2,HERON BAY RECREATION AMENITY,171-127 B,3012,09,PA,33076,,,,,,
47413202,335,HERON BAY NORTHEAST 173-92 B,LOT 42 BLK E,3012,01,PA,33076,,,,,,
47413203,10,GREENBRIAR PLAT 174 93 B,LOT 1 BLK A,3012,01,PA,33076,,,,,,
47413204,3,PARKLAND WESTERN COMMUNITY PARK,175-79 B,3012,82,PA,33076,,,,,,
47413205,128,PARKLAND VILLAGE 177-15 B,LOT 18 BLK F,3012,01,PA,33076,,,,,,
47413206,67,PARKLAND VILLAGE REPLAT ONE,178-183 B,3012,09,PA,33076,,,,,,
47413207,2,PARKLAND FIRE STATION NO.2,179-7 B,3012,80,PA,33076,,,,,,
47413208,113,PARKLAND VILLAGE REPLAT ONE,178-183 B,3012,01,PA,33076,,,,,,
47413209,115,HERON BAY NORTH PLAT 4,181-72 B,3012,01,PA,33076,,,,,,
47413210,38,PARKLAND VILLAGE REPLAT TWO,181-102 B,3012,01,PA,33076,,,,,,
47413301,4,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 33-47-41,3012,94,PA,33076,,,,,,
47413302,3,PARKLAND GOLF & COUNTRY CLUB,172-81 B,3012,94,PA,33076,,,,,,
47413303,267,PARKLAND GOLF & COUNTRY CLUB,REPLAT #1 172-182 B,3012,00,PA,33076,,,,,,
47413304,40,PARKLAND ESTATES 174 69 B,LOT 33,3012,01,PA,330764806,,,,,,
47413305,398,PARKLAND GOLF AND COUNTRY CLUB,REPLAT #2 174-137 B,3012,01,PA,33076,,,,,,
47413306,5,PARKLAND COMMERCIAL 176-157 B,PARCEL A,3012,16,PA,33076,,,,,,
47413307,117,PARKLAND GOLF & COUNTRY CLUB,POD 9 REPLAT 180-32 B,3012,09,PA,33076,,,,,,
47413308,34,PARKLAND GOLF & COUNTRY CLUB,POD 11 REPLAT 180-51 B,3012,01,PA,33076,,,,,,
47413309,20,PARKLAND GOLF AND COUNTRY CLUB,POD 13 REPLAT 180-54 B,3012,01,PA,33076,,,,,,
47413310,11,PARKLAND GOLF & COUNTRY CLUB,POD 19 REPLAT 180-58 B,3012,01,PA,33076,,,,,,
47413311,60,PARKLAND GOLF & COUNTRY CLUB,POD 20 REPLAT 180-61 B,3012,01,PA,33076,,,,,,
474133AA,60,CASERAS AT PARKLAND GOLF &,COUNTRY CLUB CONDO,3012,04,PA,33076,,,,,,
47413400,6,34-47-41,E 500 OF N1/2 OF NE1/4,0012,52,BC,33076,,,,,,
47413401,33,34-47-41,S1/2 OF SE1/4 OF SE1/4 OF SE1/4,3012,01,PA,33067,,,,,,
47413402,1,BERTOLAMI PLAT 142-34 B,"TRACT ""A""",3012,01,PA,33067,,,,,,
47413403,5,QUIGLY PLAT 171-83 B,LOT 2,3012,01,PA,33067,,,,,,
47413501,12,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 35-47-41,3012,99,PA,33067,,,,,,
47413502,484,PARKLAND LAKES P.U.D. 102-44 B,LOT 44 BLK 5,3012,01,PA,330672335,,,,,,
47413503,125,CYPRESS CAY 156-35 B,LOT 91,3012,01,PA,33067,,,,,,
47413504,109,PARKSIDE ESTATES 170-35 B,LOT 8 BLK E,3012,01,PA,330673968,,,,,,
47413505,3,MCJUNKIN FARMS PLAT 183-260 B,TR A,3012,94,PA,33067,,,,,,
47413506,370,MCJUNKIN FARMS PLAT 183-260 B,LOT 6 BLK 6,3012,01,PA,33067,,,,,,
47413507,111,MCJUNKIN FARMS PLAT 183-260 B,POR PAR B DESC AS:COMM AT NW,3012,01,PA,33067,,,,,,
47413600,4,36-47-41,POR SEC 36 DESC AS COMM E1/4 COR,3012,94,PA,33067,,,,,,
47413601,299,TERRAMAR ONE 140-30 B,LOT 14 BLK A,3012,01,PA,330673900,,,,,,
47413602,15,TERRAMAR TWO 142-43 B,TRACT X DEDICATED TO THE PUBLIC,3012,94,PA,33067,,,,,,
47413604,6,MECCA COMMERCIAL 149-38 B,PORTION PARCEL A DESC AS:COMM AT,3012,74,PA,33067,,,,,,
47413605,5,LOUIS COMMERCIAL PLAZA 151-44 B,PARCEL 'A' LESS PART DESC'D IN,3012,11,PA,33067,,,,,,
